Respondent_Type,Program,School,Department,Organization,Community,Age,Gender,Concern,Concern_Category,Solution,Solution_Category
UB Staff/Faculty,NA,University of Belize,Admissions,NA,NA,NA,NA,"Noise pollution, Air pollution","Air Pollution, Noise Pollution",Implement policy to reduce these types of environmental concerns,Policy
Other Student,NA,CCA,NA,NA,NA,NA,Male,Wildlifes,Wildfires,Pick up your glass bottles,"Don't Litter, Cleanup"
Other Student,NA,NA,NA,NA,NA,14,Male,"The forest, many areas have trash",Trash,Properly monitoring the forest and fine people for polluting,"Monitoring, Enforcement, Policy"
Other Student,NA,Sacred Heart College,NA,NA,NA,17,Female,Air pollution,Air Pollution,Implement more rules,Policy
Other Student,NA,Belmopan Baptist High School,NA,NA,NA,15,Female,Fires,Wildfires,Not sure,NA
Other Professionals,NA,Cayo Christian Academy,Science,NA,NA,NA,Female,Noise and Land Pollution,"Noise Pollution, Pollution",Set specific time frames for music at parties/clubs and have clean up campaigns ,"Limit Music at Night, Cleanup Campaigns"
Other Student,NA,Cayo Christian Academy,NA,NA,Ontario,NA,Male,Keeping the place clean,Trash,"Clean the community as one, and do not litter","Community Cleanup, Don't Litter"
UB Student,Marine Biology,University of Belize,NA,NA,NA,17,Male,Pollution,Pollution,"Recycle and give second life to used things, and put your garbage in the proper place","Recycle, Reuse, Don't Litter"
UB Student,Pre-Medical Science,University of Belize,NA,NA,NA,17,Male,Trees,Deforestation,Plant more trees,Plant Trees
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Male,Climate Change,Climate Change,Enforce existing environemnental laws,Enforcement
Other Student,NA,St. Ignatius High School,NA,NA,NA,NA,Male,Rise of pollution and lack of concern towards global warming,"Pollution, Climate Change",Enforcing a law or fee to make people feel less inclined since no one will want to pay the fine,"Enforcement, Fees"
Other Professionals,NA,NA,NA,TREES,NA,NA,Female,Habitat Loss,Habitat Loss,Capcity Building and Community Outreach,"Capacity Building, Community Outreach, Education"
Other Professionals,NA,NA,NA,NMS,NA,29,Female,Deforestation going on at Chiquibul since it is inhabited by many endagered species,Deforestation,"More awareness, more ground action, more ranger patrol","Awareness, Enforcement, Monitoring"
UB Student,Marine Biology,University of Belize,NA,NA,NA,18,Female,Depleting fish population,Biodiversity Loss,Have better enforcement on policies and have more protected areas,"Enforcement, More Protected Areas"
UB Student,Natural Resource Management,University of Belize,FST,NA,NA,19,Female,Deforestation and illegal logging,Deforestation,enforcing laws,Enforcement
Other Student,NA,Belmopan Baptist High School,NA,NA,NA,14,Female,Land Pollution,Pollution,"Have signs so people understand what they are doing is wrong, also have a hroup of people to clean the environment","Awareness, Cleanup Programs"
Other Student,Science,St. Ignatius High School,NA,NA,NA,16,Female,Lack of concern related to marine based projects concerning the government,Lack of Awareness,Educated people should help those who lack empathy and concern for those marine lives,"Awareness, Education"
Other Student,NA,St. Ignatius High School,NA,NA,NA,17,Male,Deforestation,Deforestation,Have strict laws,"Policy, Enforcement"
UB Student,Business Administration,University of Belize,FMSS,NA,Camalote Village,NA,Female,Pollution,Pollution,Gather more groups to assist with keeping the community clean,Cleanup Programs
UB Student,Natural Resource Management,University of Belize,NA,NA,NA,20,Male,Drought,Drought,Spread awareness,Awareness
Other Student,NA,Mopan Technical High School,NA,NA,NA,14,Female,Water and Land Pollution,"Water Pollution, Pollution",Help cleaning the community and helping wild animals,"Community Cleanup, Help Animals"
Other Student,NA,Mopan Technical High School,NA,NA,NA,15,Female,Pollution,Pollution,Help the community and animals ,"Community Outreach, Help Animals"
UB Student,Marine Biology,University of Belize,FST,NA,NA,21,Male,Habitat Destruction,Habitat Loss,Have more rules and regulations,Policy
UB Student,Marine Biology,University of Belize,FST,NA,NA,21,Male,Dredging,Dredging,Stop dredging,Stop Dredging
Other Student,NA,St. Ignatius High School,NA,NA,NA,NA,Female,Land Pollution,Pollution,Have more trash bins installed,More Garbage Cans
UB Student,Agriculture,University of Belize,NA,NA,NA,NA,Female,Climate Change and transport emission,"Climate Change, Air Pollution",track the emissions,Track Emissions
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Female,Improper garbage disposal,Trash,Teach how to properly dispose garbage and add more garbage drums around Belize,"Education, More Garbage Cans"
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Female,Road traffic accidents,Roadkill,Implement our traffic laws more,Enforcement
Other Professionals,NA,NA,NA,TREES,NA,21,Female,Habitat loss due to deforestation,"Habitat Loss, Deforestation",Have community and education outreach,"Community Outreach, Education"
Other Student,NA,Sacred Heart College,NA,NA,NA,17,Male,Littering,Trash,Stop littering,Don't Litter
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Female,Pollution,Pollution,Have cleaning programs,Cleanup Programs
Community Members,NA,NA,NA,NA,Belmopan,42,Female,Air pollution frm industrial sites,"Air Pollution, Industry",Have proper zoning or rezoning if necessary,Proper Zoning
Other Student,NA,St. Ignatius High School,NA,NA,NA,16,Male,Air pollution,Air Pollution,Use electric vehicles,Electric Vehicles
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Male,Oil spill in Belize's Barrier reef,Oil Spill,Implement laws to prevent boats from passing through the reef,"Policy, No Boats Passing Reef"
Other Student,NA,St. Ignatius High School,NA,NA,NA,17,Male,Air pollution,Air Pollution,Old cars should be impounded,Impound Old Cars
Other Student,NA,St. Ignatius High School,NA,NA,NA,17,Female,Land pollution,Pollution,more garbage bins or recycling clubs,More Garbage Cans
Other Professionals,NA,NA,NA,Institute of Archaeology,NA,24,Female,Water and Land Pollution,"Water Pollution, Pollution",Clean up campaigns,Cleanup Campaigns
Other Professionals,NA,NA,NA,OIRSA,NA,23,Male,The use of pesticides,Pesticides,use beneficiary insects,Beneficial Insects
Other Professionals,NA,NA,NA,OIRSA,NA,20,Male,lack of knowledge for the environment,Lack of Awareness,use social media to have more information ,Social Media Campaigns
Other Student,NA,Sacred Heart College,NA,NA,NA,NA,Female,Wildlife crossing the roads,Roadkill,have strict laws that protect these animals,Policy
Other Student,NA,St. Ignatius High School,NA,NA,NA,NA,Female,Deforestation,Deforestation,Enforce laws and plant more trees,"Enforcement, Plant Trees"
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Female,Barrier Reef,Degredation of Reef,Making stricter rules to protect the reef,Policy
Other Student,NA,Sacred Heart College,NA,NA,NA,15,Male,Trash thrown in the seas and rivers,"Trash, Water Pollution, Improper Waste Disposal, Dumping in Rivers",Enforce littering laws,Enforcement
Other Student,Science,Sacred Heart College,NA,NA,NA,16,Female,Pollution,Pollution,Help in cleaning up,Cleanup
UB Student,Natural Resource Management,University of Belize,NA,NA,NA,21,Female,Pollution in the river bank in the macal river,Water Pollution,have more cleaning up and spread awareness ,"Cleanup, Awareness"
Other Student,NA,Sacred Heart College,NA,NA,NA,16,Male,Pollution,Pollution,Less pollution,Less Pollution
UB Student,BBIO,University of Belize,FST,NA,NA,21,Female,"Roadkills, animals being left on the roadside",Roadkill,Educate the community to drive safe and consequences that affect the country,Education
UB Student,Business Administration,University of Belize,FMSS,NA,NA,21,Female,Mangrove depletion,Magrove Loss,Implementing and enforcing the lawss for coastal areas,"Policy, Enforcement"
UB Staff/Faculty,NA,University of Belize,NA,NA,NA,48,Female,Deforestation,Deforestation,Minsitry needs to stop being corrupt,Less Corruption
Other Student,NA,Belize High School,NA,NA,NA,NA,Male,Pollution,Pollution,Give incentives to stop littering,"Community Incentives, Don't Litter"
UB Student,Natural Resource Management,University of Belize,NA,NA,NA,17,Female,Climate change and deforestation,"Climate Change, Deforestation","climate smart techniques, reforestation","Reforestation, Climate Smart Techniques"
Other Student,NA,Sacred Heart Junior College,NA,NA,NA,NA,Female,Trash and trash disposal,"Trash, Improper Waste Disposal","public education, encourage garbage sorting and more options for garbage disposal","Education, Recycle, Waste Management"
UB student,Natural Resource Management,University of Belize,FST,NA,NA,21,Male,Impoper waste disposal and illegal cutting,"Trash, Improper Waste Disposal",proper monitoring and enforcement,"Monitoring, Enforcement"
UB student,NA,University of Belize,FST,NA,NA,32,Female,Burning of garbage in residential areas,"Burning Garbage, Improper Waste Disposal",Charge fees,"Policy, Enforcement, Fees"
Community Members,NA,NA,NA,NA,NA,45,Male,Mono crop,Monocrops,Investment and protection,"Investment, Protection"
Other Student,NA,Sacred Heart Junior College,NA,NA,NA,16,Female,Rivers being used as waste dump for sugar cane waste,"Dumping in Rivers, Industry, Water Pollution",have laws proetcting the rivers ,Policy
Other Student,NA,Sacred Heart Junior College,NA,NA,NA,15,Female,Pollution,Pollution,Promoting recycling in school,"Recycle, Education"
